title,release_date,album,n-words,lyrics
Juice by Drake,2009-12-11 00:00:00,(No Album),1,"21 ContributorsJuice Lyrics[Produced by Boi-1da]

[Intro]
Boi-1da... Drizzy

[Verse 1]
Y'all don't really like me
I can understand
My flow is sitting right inside the pocket on my pants
I'm still fly, you can't float
Run this shit, Usain Bolt
I write your favorite records, are you saying ghost?
Twenty-thousand for a verse is our routine quote
I'm getting rich, uhh, you staying broke
Chillin' even if I'm in a goose down coat
I can't see you through the Mosley Tribes
So I don't even flinch if you throw me high-fives
They try to measure up, but there is no one my size
Whatever 40's smokin' 'bout to low my eyes
Beast mode on them, I never take a night off
Every single thing a nigga purchase is a write off
Grounded as the runway pavement, I'm taking flight off
Baby go ahead and cut the light off
Cause it's about to go

[Verse 2]
I hear my phone ringing when you call
I ain't pickin' up or entertainin' them at all
Got your girl face down, bangin' on the wall
While you and all your homeboys hang in Lenox Mall
Mmm, mmm, mmm
I cannot relate
Ridin' with some tags that I got from out of state
Ridin' with a swag that I got from outer space
Just show me who's the hottest, I'mma knock him out his place
Call me homicide Drizzy, I'm 'bout to kill your ego
I'm about my green, puffin' goody like I'm Cee-lo
You can go and take a glance at your hero
While the Houston ship a pole dancing zero
Fantasy to you, reality to me
And yeah, my G-pass is as valid as can be
I'm so fresh, a stylist would agree
Waving at your girl while she's smiling back at me likeYou might also like5Embed"
Swagger Like Us by Drake,2009-12-13 00:00:00,(No Album),3,"20 ContributorsSwagger Like Us Lyrics[Intro]
Yeah
Right
Ahhhhhh
Aiight
I'm bout to do my thing
You ready?
Here I go!
October's very own
Drizzy
Taz You ain't even got nothin to worry about man
Check
Yeah

[Verse 1]
Are you listening?
Is anybody listening?
Walk into a room and you can smell the Clive Cristian scent
A lot of niggas is threatened by my positioning
Thrillin bars you think I'm writing with John Ghrisam
Pen
I need Rose, nevermind the pricing
Know we brought cake to the party, no icing
No ice on, big Phantom no license
Fuck if you're feelin me as long as your wife is
No one in my city gotta pocket like Drizzy
I can rock fitted Jeans cause my credit card skinny
It's pitch black and covers all incidentials
And Ms. Rhone sorry you ain't notice my potential
Fuck ya rappers and your self-proclaimed status
I can only see green now happy St.Patty's
I know you waitin on a last quote
Check the soundscan and you can see that I'm the last hope
You might also like[Verse 2]
By the way I'm Jewish and turnin 22
Get's depressing when you see your favorite rappers
Goin through it
Tryna re-invent themselves, showin' no improvement
Gettin' crushed by this light skinned young'n on some
New shit
40 just recorded and who dropped this here
Cos I'm tryna fuck Megan Fox this year
And if you got a stylist to cop you gear
And you are in my age bracket, you are not my peer
Fuck you really know about a Eames couch
Frette sheets, perfect touch to a clean house
Wide awake, but a nigga's livin' ya dreams out
Lookin like a photoshoot everytime the team's out
And is the realest nigga still I
A woman could love me to death but I'd still die
So I'm about us now
Smith and Wesson flow
You should tell them boys duck downEmbed"
Swagga Like Us by Drake (Ft. M.I.A.),2009-12-13 00:00:00,Heartbreak Drake,3,"7 ContributorsSwagga Like Us Lyrics[Intro: Drake & M.I.A.]
No one on the corner has swagger like us
Yeah
Swagger like us, swagger-swagger like us
Right
No one on the corner has swagger like us
Haaaah
Swagger like us, swagger-swagger like us
Aight
No one on the corner has swagger like us
I'm 'bout to do my thing
Swagger like us, swagger-swagger like us
You ready?
No one on the corner has swagger like us
Swagger like us, swagger-swagger like us
Here I go

[Chorus: M.I.A. & Drake]
No one on the corner has swagger like us
Yeah
Swagger like us, swagger-swagger like us
It's October's Very Own
No one on the corner has swagger like us
Drizzy
Swagger like us, swagger-swagger like us
Tez, you ain't even got nothin' to worry about, man
No one on the corner has swagger like us
Swagger like us, swagger-swagger like us
Yeah
No one on the corner has swagger like us
Check
Swagger like us, swagger-swagger like us
You might also like[Verse 1: Drake]
Uh
Are you listening? Is anybody listening?
Walk into the room and you can smell the Clive Christian scent
A lot of niggas is threatened by my positioning
Thrilling bars, you'd think I'm writin' with John Grisham pen
I need rosé, never mind the pricing
Know we brought cake to the party, no icing
No ice on, big Phantom, no license
Fuck if you feelin' me as long as your wife is
No one in my city got a pocket like Drizzy
I could rock fitted jeans 'cause my credit card skinny
It's pitch black and covers all incidentals
And, Ms. Wrong, sorry you ain't notice my potential
Fuck y'all rappers and your self-proclaimed status
I can only see green now, happy St. Paddy's
Yeah, I know you waitin' on the last quote
Check the SoundScan, you can see that I'm the last hope

[Chorus: M.I.A. & Drake]
No one on the corner has swagger like us
Yeah
Swagger like us, swagger-swagger like us
Oh, I'm not done
No one on the corner has swagger like us
Ye, what up?
Swagger like us, swagger-swagger like us
Don C, what up, homeboy?
No one on the corner has swagger like us
G-hop
Swagger like us, swagger-swagger like us
I got 'em
No one on the corner has swagger like us
Swagger like us, swagger-swagger like us
Uh
Look
[Verse 2: Drake]
By the way, I'm Jewish
And turnin' 22 gets depressin' when you see your favorite rappers goin' through it
Tryna reinvent themselves, showin' no improvement
Gettin' crushed by this light-skinned youngin on some new shit
40, just record it and we'll drop this here
'Cause I'm tryna fuck Megan Fox this year
And if you got a stylist to cop you gear
You in my age bracket, you are not my peer
Yeah, fuck you really know about a Eames couch?
Frette sheets, perfect touch to a clean house
Wide awake but a nigga livin' ya dreams out
Lookin' like a photoshoot every time the team's out
Yeah, and is the realest nigga still I?
A woman could love me to death but I still die
So I'm about us now
Smith and Wesson flow, you should tell them boys duck down

[Chorus: M.I.A. & Drake]
No one on the corner has swagger like us
Yeah
Swagger like us, swagger-swagger like us
You know what it is
No one on the corner has swagger like us
October's Own, ATF
Swagger like us, swagger-swagger like us
Reps Up, holla at me
No one on the corner has swagger like us
Yeah
Swagger like us, swagger-swagger like us
We do this day in and day out, man
No one on the corner has swagger like us
Dead serious
Azooka, I see you boy
Swagger like us, swagger-swagger like us
Yeah!
[Outro: M.I.A.]
No one on the corner has swagger like us
Swagger like us, swagger-swagger like us
No one on the corner has swagger like us
Swagger like us, swagger-swagger like usEmbed"
Take Your Girl by Drake,2009-12-15 00:00:00,Heartbreak Drake,1,"5 ContributorsTake Your Girl Lyrics[Hook 1: Lil Wayne]
Now shawty got a man, but I got a plan
Look, homie, I ain't trying to force your hand
But I'ma take your girl
I'ma take your girl

[Hook 2: Drake]
And I can tell you, she wants me
She wants me, she wants me, she wants me
And yes I want her too
I'ma take your girl

[Verse 1: Drake]
I swear to you every time I sees her, I seizure
Keep running through my mind, jog my memories; amnesia
Touch ya, tease ya, nervous? Don't freeze up
She let me take control, I run a woman like a Visa
She always run back to me saying he's a dog
Off the leash, he got this other girl Alicia
She tell me she's in hell, I tell her, ""Take a breather""
I'm nothing like your man, but I can't love you neither
It's wifey over bitches, but money's over her
'Cause money's under nothing, my life is such a blur
It's not the way it has to go, it's just what I prefer
And any Young Money nigga I know would concur
Weezy, talk to 'em!
You might also like[Interlude: Lil Wayne]
And she wants me
She wants me yeah
And I want her too
Yeah, I want her too

[Verse 2: Lil Wayne]
I'm talkin' 'bout shawty got something about her
Shawty got this thing about her
Shawty got that thing that make you wannna wrap a ring around her
Wanna rap and sing about her
So thats what I does, shit that's what it was
They rub my back in the tub it was me
Yeah, we all buddies
And shawty gots a husband, and everyone knows but him
But fuck him

[Hook 2: Lil Wayne]
And I can tell you, she wants me
She wants me, she wants me, she wants me
And yes I want her too
I'ma take your girl

[Hook 1: Drake]
Shawty got a man, but I got a plan
Listen, homie, I ain't trying to force your hand
But I'ma take your girl
I'ma take your girl
[Bridge: Drake]
And her girls and they girls
Comin' with me yeah, talkin' one on three yeah
They ain't playin no D yeah
Thats cause they playin for me yeah

[Verse 3: Kid-Kid]
Just as long as we know whats good on both ends
I'm loving ya like I'm ya man though we just friends
If ya shy come see me for ya comfortin' I got a comfortable suite at the Comfort Inn
I tell her
I don't own a boat baby but I can float
And I don't own a plane but there's a mary jane and we can float
Your man ain't worrying about what's going on over here
You could get penalized the way you blowin' below the rear
Now this game like a analog I don't sweat cause it show how fake you are
She stressin', ya she testin' ya, she just tryin' to see what kinda level ya on
You don't make it bounce like a basketball, you ain't even get no ass at all
Now you sittin at the club trying to laugh it off, she done found her mid glam boy
You messin up, you messed up, wasn't easy to clean your Mess up
She found me and I blessed her, I applied to her pressure
She call me a professor, I went gave her her lecture
I bet she says I'm better, than her man was ever

[Hook 1: Drake]
Shawty got a man, but I got a plan
Look, homie, I ain't trying to force your hand
But I'ma take your girl
I'ma take your girl
[Hook 2: Lil Wayne] (x2)
And I can tell you, she wants me
She wants me, she wants me, she wants me
And yes I want her too
I'ma take your girlEmbed"
I'm Still Fly by Drake,2009-12-19 00:00:00,Heartbreak Drake,7,"6 ContributorsI’m Still Fly Lyrics[Intro]
Yeah
Alright
Paige, I hope you don't mind, I hope you don't mind me, uhm havin' a little fun you know?
I know this your joint I just I always liked this song so I figured I may as well throw in
Here we go

[Chorus]
I'm still fly, (Yeah) I'm sky high
And I dare anybody to try to cut my wings (Ah)
I'm still pullin out the Phantom, and these haters can't stand 'em (That's me singin' by the way)
Nigga, I'm still doing my thing (In case you didn't know)
I'm still fly, (Yeah) I'm sky high (It's some new shit, it's some new shit I'm on)
And I dare anybody to try to cut my wings (I promise I got 'em though)
I'm still shuttin' cities down every time I come around (Love)
Nigga, I'm still doing my thing (Here we go)
I'm still

[Verse]
Responsible for everything you listen to, a mediocre talent, let me see if I can condition you
Took over my city, and I never asked permission to
Started poppin' bottles, cause it's ATL tradition to
Celebrate with Bob Ma, fuck him at the So-ho
If there ain't an elevator in it, it's a no go
Coldest thing droppin', and these bitches wanna snow blow
And they just give me head, while the haters give me promo
And man, my DJ should've won that
Listen and respect, man, the city owe us one back
All these old heads keep they minds on one track
And me, I run Toronto, halla at me when you're done laps
Roll around with Neego, Party with Azooka
Shout goes out to 1Da, shout goes out to Future
Shout goes out to Getti, motherfucker I am ready
And whoever got the torch, just can't seem to hold it steady
'Cause I see the flame flickering, x girls bickering
Got these women jockin' me from Holly Grove all the way to Picker Ring
I tryed to send my nigga Short some syrup out in Michigan, but my connect said it'd take a minute if you listening
Please start doing you, I been doing me
And I'm a staple in my city, you can never ruin me
Rappers are emotional, critics be reviewin' me
But I got love for everybody, even if you suin' me
My brother P-rain know, we fuck with the same hoes
Plus he taught me how to spot an officer in plain clothes
Starin' at you pussy niggas, all I see is rainbows
Hopin' on a jet to every single Lil Wayne show
Me and Lil Jazzy, please do not harass me
Just halla if you got me, fuck you if you had me
Shout goes out to Brian E, shout out to Photo Will
Shout out to Oliver, and 40, man, you know the deal
Shout out to Mayhem, shout out to B Plus
The names I mention are crucial, you gonna need us
And life is good, everything is just fine
I am so sure of my rhymes, I could sacrifice a line
Yeah, I swear, I really fuckin' does it
I had these niggas trippin, no luggage
You might also like[Chorus]
I'm still fly, I'm sky high
And I dare anybody to try to cut my wings
I'm still pullin out the Phantom, and these haters can't stand 'em
Nigga, I'm still doing my thing
I'm still fly, I'm sky high (Yeah)
And I dare anybody to try to cut my wings
I'm still shuttin' cities down every time I come around
Nigga, I'm still doing my thing
I'm stillEmbed"
Stunt Hard by Drake (Ft. Kidd Kidd & Lil Wayne),2009-12-19 00:00:00,Heartbreak Drake,3,"27 ContributorsStunt Hard Lyrics[Chorus: Drake]
I did it all on my own, turned a chair to a throne
I'm a king in this world, stunt hard
I put my whole city on to some things
That they never would've known if I didn't stunt hard
And every night is a premiere (yeah)
If I ever disappear (look), best believe I'm comin' back, stunt hard
Got rich, went broke, and got rich again (yeah)
On that same shit again (alright), all I ever do is stunt hard

[Verse 1: Drake]
I tell her, I'm getting motherfuckin' busy
So many spins my records is motherfuckin' dizzy
Haters wanna turn to their girl and be like, ""Who is he?""
But I bet a million she tell you that's motherfuckin' Drizzy
And I'm focused on my survival
Keep an eye on the door and focus on my arrival
Who do you look up to when you're better than your idols?
And how you 'posed to look when you do it with your eyes closed
I'm everything you just haven't become
I spend my time trying to outdo what hasn't been done
Now hopefully live to see what they say that I'm gon' be
And if not I hope future does in the memory of me
Get your team in order, assembly is key
And all my niggas shut up at the mention of a plea
They rather be apprehended and keep quiet than to be
On the stand jeopardizing an inch of their loyalty
Pick a lane, pick a lane, that's all I ever heard
But I'm just trying to swerve, without hitting the curb
That's why I spend thousands on bottles so I can pop them
And take photos with hater niggas and crop them
I am not them, I photoshop them out
'Cause they don't understand what I'm 'bout
Yeah, the Chris Paul of this fall
Sittin' this tall, I float high, goodbye, I will miss y'all
You might also like[Chorus: Drake & Lil Wayne]
I did it all on my own, turned a chair to a throne
I'm a king in this world, stunt hard
I put my whole city on to some things
That they never would've known if I didn't stunt hard
And every night is a premiere
If I ever disappear (yeah), best believe I'm comin' back
Stunt hard (I'm leanin')
Got rich, went broke, and got rich again
On that same shit again (alright), all I ever do is stunt hard

[Verse 2: Lil Wayne]
If I don't do nothin', I'mma stunt my ass off
Money sittin' in the pocket, 'bout to get a passoff
And I smoke that shit that smell like when you take your cast off
And I got them beach bitches, like David Hasselhoff
Baby I'm an acrobat
Sweetie, I'm a stuntdevil
You can't get on my level cause I am so unleveled
I'm a young rebel and I got a babyface
I need a young Pebbles, I need a stunt double
Yeah, me, Drake and Kidd and you know it's trouble
We got 'em drownin' in the flow, you see 'em blowin' bubbles
Yeah, I stick my landin' in a freak drawers
I'll have her bouncin' back like Dominique Dawes
Yeah, but I ain't stuntin' these hoes
I been pimpin' since Hulk Hogan was N.W.O, yeah
I'm wild, Drizzy tough, and the Kid vicious
The three horseman, we just need Sid Vicious
Yeah, I'm on the cup of that tilt
And if you hatin' on me I'll say fuck you like wilt
Yeah! I'm a wilderbeast. You're just a wildebeest
My two fingers make a gun and shoot and kill ya peace
Yeah! Talkin big big shit
I am rude, I take food from a kid picnic nigga
Yeah and we can bang like bumper cars
You know I stunt shit 'cause I write all Stunna bars, haha
[Chorus: Drake & Kidd Kidd]
I did it all on my own, turned a chair to a throne
I'm a king in this world, stunt hard
I put my whole city on to some things
That they never would've known if I didn't stunt hard
And every night is a premiere (haan)
If I ever disappear ('bout time)
Best believe I'm comin' back, stunt hard (they'll know)
Got rich, went broke, and got rich again
On that same shit again (yeah, okay)
All I ever do is stunt hard

[Verse 3: Kidd Kidd]
I stunt hard, I stunt harder
Boy they call me Jackie Chan in New Orleans
I ball hard, So I'm a ball hogger
And I go hard in my dunk like Vince Carter
I hustle harder, I live in the Carter
I think forward, all I see is tomorrow
I need meat I'll turn your shop into a horror
So if you tryin' to see more, better feed me
I'm back on my grizzy like ""Izzy"" after ""gr""
Don't he look like a black grizzly in that black fur
And the feds will never get me like a backwards password
Black spur, ghost I'm like Pacman, Casper
Vanilla Ice got 'em hangin' over the banister
Ask her, am I the man? Her answer is yessir
Shit, I'm tourin' state from state
I played the RTA 'bout a quarter a day
Now tell them bitches
[Chorus: Drake]
I did it all on my own, turned a chair to a throne
I'm a king in this world, stunt hard
I put my whole city on to some things
That they never would've known if I didn't stunt hard
And every night is a premiere
If I ever disappear, best believe I'm comin' back, stunt hard
Got rich, went broke, and got rich again
On that same shit again, all I ever do is stunt hard1Embed"
Baby Come With Me by Drake,2010-01-03 00:00:00,(No Album),1,"5 ContributorsBaby Come With Me Lyrics[Verse 1]
She be jumping up and down
Trynna fit that ass in
Took her half an hour
Just to get that belt to fasten
All she wanna talk about is partying and fashion
Don't know where she going
But I do not plan on asking at all
Cause her spirit is free
And she, lets nobody else in except for me
If her basement is locked, then I swear she would agree
I’m the only one she loves
There’s no copies of the key
Homie, that’s a guarantee

[Verse 2]
Don’t forget that Fendi purse that you put all your cash in
Kinda hard to concentrate when cameras are flashin’
Other dudes would suffocate her, I don’t want her gaspin’
Don’t know where she’s going
And I do not plan on asking at all
I’ve never been the type, felt alike
My connection with niggas that wanna fight
Over women, that's not right
There's too many in the world
Homie, you can have your pick
But I swear that ones my girl
I swear that one’s my girl!You might also like6Embed"
Love And Gunz by Drake,2010-01-18 00:00:00,Black Diamond 8 (Audible Narcotic),1,"4 ContributorsLove And Gunz Lyrics[Drake]

Damn, another 20 missed calls
I love her and I hate her
It's a funny twist y'all
Can't stand her it when she in town
But miss her when she gone
Truth be told
I'd rather be with her than alone
But fights break out
And neighbors call 5-0
Screamin you the most foul bitch I know!
Forever mine wherever I go
Sex pistols out (bang) die slow
Nah die slower than that
Just co-llapse all over my matt-ressss
Who shot cha that nigga ain't finished
So once again I find myself in it (click-clack)
Just let me take a minute
Round 2 is in the chamber
All you gotta do is spin it
Aim for the heart
Battle of the sexes
All's fair love and war casualties expectedYou might also like2Embed"
Over by Drake,2010-03-08 00:00:00,Thank Me Later,1,"110 ContributorsTranslationsEnglishEnglishOver Lyrics[Produced by Boi-1da and Nick Brongers]

[Intro]
Uh, uh
Young Money
Yeah, yeah, yeah

[Chorus]
I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We been everywhere and back
But I just can't remember it all
What am I doin'? What am I doin'?
Oh yeah, that's right—I'm doin' me, I'm doin' me
I'm livin' life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over

[Verse 1]
Alright, bottles on me, long as someone drink it
Never drop the ball, fuck are y'all thinkin'?
Making sure the Young Money ship is never sinking
About to set it off in this bitch, Jada Pinkett
I shouldn't have drove, tell me how I'm gettin' home
You too fine to be layin' down in bed alone
I could teach you how to speak my language, Rosetta Stone
I swear this life is like the sweetest thing I've ever known
About to go thriller, Mike Jackson on these niggas
All I need's a fuckin' red jacket with some zippers
Super good smidoke, a package of the Swisher's
I did it overnight, it couldn't happen any quicker
""Y'all know them? Well, fuck it, me either""
But point the biggest skeptic out, I'll make him a believer
It wouldn't be the first time I'd done it, throwin' hundreds
When I should be throwin' ones, bitch, I run it, ahh
You might also like[Chorus]
I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We been everywhere and back
But I just can't remember it all
What am I doin'? What am I doin'?
Oh yeah, that's right—I'm doin' me, I'm doin' me
I'm livin' life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over

[Verse 2]
Uh, one thing 'bout music: when it hits, you feel no pain
And I swear I got this shit that make these bitches go insane
So they tell me that they love me, I know better than that, it's just game
It's just what comes with the fame, and I'm ready for that, I'm just sayin'
But I really can't complain, everything is kosher
Two thumbs up, Ebert and Roeper
I really can't see the end gettin' any closer
But I'll probably still be the man when everything is over
So I'm ridin' through the city with my high beams on
Can you see me? Can you see me? Get your Visine on
Y'all just do not fit the picture: turn your widescreen on
If you thinkin' I'ma quit before I die, dream on
Man, they treat me like a legend, am I really this cold?
I'm really too young to be feelin' this old
It's about time you admit it, who you kiddin'?
Man, nobody's ever done it like I did it, uh
[Chorus]
I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We been everywhere and back
But I just can't remember it all
What am I doin'? What am I doin'?
Oh yeah, that's right—I'm doin' me, I'm doin' me
I'm livin' life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over
Yeah, that's right—I'm doin' me, I'm doin' me
I'm livin' life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over, uh78Embed"
Over (Ayobi remix) by Drake (Ft. Ayobi),2010-03-08 00:00:00,(No Album),1,"1 ContributorOver (Ayobi remix) Lyrics[Intro]
Ayobi
Yeah yeah yeah
I see changes

[Verse 1]
Alright, bottles on me, long as someone drink it
Never drop the ball, fuck are y'all thinking?
Making sure the Young Money ship is never sinking
About to set it off in this bitch: Jada Pinkett
I shouldn't have drove, tell me how I'm getting home
You too fine to be laying down in bed alone
I could teach you how to speak my language, Rosetta Stone
I swear this life is like the sweetest thing I've ever known
About to go thriller, Mike Jackson on these niggas
All I need's a fucking red jacket with some zippers
Super good smidoke, a package of the Swisher's
I did it overnight, it couldn't happen any quicker
""Y'all know them? Well, fuck it, me neither""
But point the biggest skeptic out, I'll make him a believer
It wouldn't be the first time I done it, throwing hundreds
When I should be throwing ones, bitch, I (Changes)

[Bridge]
I see changes
You might also like[Verse 2]
One thing 'bout music: when it hits, you feel no pain
And I swear I got this shit that make these bitches go insane
So they tell me that they love me
I know better than that, it's just game
It's just what comes with the fame
And I'm ready for that, I'm just saying
But I really can't complain, everything is kosher
Two thumbs up, Ebert and Roeper
I really can't see the end getting any closer
But I'll probably still be the man when everything is over (I see changes)
So I'm riding through the city with my high beams on
Can you see me? Can you see me? Get your Visine on
Y'all just do not fit the picture: turn your widescreen on
If you thinking I'ma quit before I die, dream on
Man they treat me like a legend, am I really this cold?
I'm really too young to be feeling this old
It's about time you admit it, who you kidding?
Man nobody's ever done it like I did it, uh (I see changes)

[Outro]
AyobiEmbed"
One Man Show by Drake,2010-05-10 00:00:00,(No Album),1,"1 ContributorOne Man Show Lyrics[Verse 1]
Look, I ain't never had a benzo
Nope, I pushed me an Ac wit the tintzo
Nosey niggas is peakin' in my window
Have a hard time looking
I tell you second hand that's a hard grind cooking
Cause my pop was in it so deep
If his son wanted in it these dealers would probably drop percentage
Instead, I drop bars like I'm two months sober
Its my time now so them you months over

Yeah if I want it I find me a way to get that
I'm trying to get to the point where I can sit back
Took a lot of patience and action
I grind so I'm anticipating relaxing
I'm thinking bout replacing the Jacksons on top of the charts
I don't need brothers fillin' space in the back than
So from the kid with the sun tan flow
The hottest ticket in town to this one man show

[Chorus]
I think that you know as well as I know
People checkin' for me every where that I go
What you gotta understand that it's me I be
Until the motherfucking day that I D.I.E
I think that you know as well as I know
People checkin' for me every where that I go
What you gotta understand that it's me I be
Until the motherfucking day that I D.I.E
You might also like[Verse 2]
I can easily make'em admit to bounce back
Without knowing exactly where my accounts at
Yeah you best believe that I often tend to surpass what the rest achieve
So they don't like me and throw parties and yet they never invite me
I can't lie sometime it bother me slightly

Either way the true fans yell
I appear calm and its obvious so who can tell
And no this ain't Blu Cantrell
This is like perfection though we both got the light complexion
Couple things that I do that well
And the way that I Jack-son you think that Drake new Sam-L [As in Samuel Jackson]
I've been real though [?]
They stay kicking it with me like a field goal
See I'm humble but I live vain
With more deals on the table than a bridge game

[Chorus]
I think that you know as well as I know
People checkin' for me every where that I go
What you gotta understand that it's me I be
Until the motherfucking day that I D.I.E
I think that you know as well as I know
People checkin' for me every where that I go
What you gotta understand that it's me I be
Until the motherfucking day that I D.I.EEmbed"
Miss Me by Drake (Ft. Lil Wayne),2010-06-01 00:00:00,Thank Me Later,1,"199 ContributorsMiss Me Lyrics[Verse 1: Drake & Bun B]
I said, ""Tell me what's really goin' on""
Drizzy back up in this thing, I'm ready, what's hannenin'?
Gone for surgery but now I'm back again
I'm 'bout my paper like a motherfuckin' scratch-and-win
World Series attitude, champagne bottle life
Nothin' ever changes so tonight is like tomorrow night
I will have a model wife, yo' bitch is as hot as ice
Every time you see me, I look like I hit the lotto twice
Drake, you got 'em, right? Yeah, I got 'em, Bun
I love myself 'cause I swear their life is just not as fun
Neeks got the weed, Hush got a gun
CJ got my credit cards and a lot of ones
Yeah, I'm in the city of the purple Sprite
Someone tell Maliah I'm on fire, she should work tonight
Call up King of Diamonds and tell Chyna it'd be worth the flight
I'll be at my table, stackin' dollars to the perfect height
Work somethin', twerk somethin', basis
She just tryna make it so she right here gettin' naked
I don't judge her, I don't judge her but I could never love her
'Cause to her I'm just a rapper and soon she'll have met another
That's why me and Lil Jaz 'bout to spaz, can you keep up?
I'm just feelin' sorry for whoever gotta sweep up
Yeah, bills everywhere, trill everything
And Drake just stand for Do Right And Kill Everything
I love Nicki Minaj, I told her I'd admit it
I hope one day we get married just to say we fuckin' did it
And girl, I'm fuckin' serious, I'm wit' it if you wit' it
'Cause yo' verses turn me on and yo' pants are mighty fitted
Ugh, damn! I think you caught me in a moment
Like I catch 'em stealin' flows 'cause I swear I never loaned it
And life ain't a rehearsal, the camera's always rollin'
So come and get a portion of this money that we blowin'
'Cause it's on
You might also like[Chorus: Drake]
Yeah, girl, it's on
You know what it is when I finally make it home
I just hope that you miss me a little when I'm gone
Yeah I hope that you miss me a little when I'm gone
And you just tell me what you down for, anything you down for
I know things have changed, know I used to be around more
But you should miss me a little when I'm gone
I just hope that you miss me a little when I'm gone, gone, gone

[Verse 2: Lil Wayne]
Ooh, shit, motherfucker, God damn
Kickin' bitches out the condo like Pam
Gettin' money every day, I'm a groundhog
'Bout to scoop ya girl up like a ground ball
I walk light so I don't piss the ground off
Man, I swear, my bitches do it 'til they suck the brown off
Ew, that's nasty
Yes, I am Weezy but I ain't asthmatic
James Bond cologne, honey I put on
Make 'em run and tell they friends like a marathon
Voice baritone, haters carry on
Beat the pussy up, call me Larry Holmes
Young Money's Jerry Sloan, I turn every stone
When she masturbate to me, that's how she learn every song
To the women I condone, better write me when I'm gone
No, I'm not that thuggish, not that ruggish but I do pack Bone
Uh, I'm a love machine
And I won't work for nobody but you
It's only me and her 'cause the Bugatti a coupe
It's Blood gang, slime, but I parlay with Snoop
I ain't lyin', I shoot, you don't need signs for proof
Turn you to a vegetable like you lyin' in soup
And when I'm in the booth, bitch, the lion is loose
Man, I got so many styles, I am a group
Ha ha, damn! I'll be gone 'til November
But fuck it, I ain't trippin', I know Drizzy gon' kill 'em
I'm stickin' to the script like lint on denim
Momma said ""If the rules ain't bent, don't bend 'em""
Real nigga talkin' – shut the fuck up, ho!
Gotta do it one time for Haiti – what up, Zo?
Weezy F. Baby and the F is for Front Do'
'Cause that's where I brang it
Soo-woo if you bangin', motherfucker!
[Chorus: Drake]
Yeah, girl, it's on
You know what it is when I finally make it home
I just hope that you miss me a little when I'm gone
Yeah I hope that you miss me a little when I'm gone
And you just tell me what you down for, anything you down for
I know things have changed, know I used to be around more
But you should miss me a little when I'm gone
I just hope that you miss me a little when I'm gone, gone, gone

[Outro: Drake]
Uh, yeah, forever in our hearts
JJ, we love you boy—H-Town!
I’m gone, I’m gone, when I’m gone
I’m gone, I’m gone, when I’m gone
I just hope that you miss me, miss me
Miss me, miss me
Miss me a little when I’m gone
Miss me a little when I’m gone, gone, gone
Oh-woah, oh-woah, oh-woah45Embed"
