title,release_date,album,lyrics,n-words
STRANGER THINGS/COOK UP (Drake Response) by Kendrick Lamar,2024-01-01 00:00:00,(No Album),"1 ContributorSTRANGER THINGS/COOK UP (Drake Response) Lyrics[Verse]
My phone and twitter was blowing up last night
5am in Talledaga, my mind reaching new heights
Im not no pussy Aubrey, i will go feral on this mic
Killing a rap nigga has always been my hobby
Seen a bunch of fans at the ritz yelling fuck drake in the lobby

I might just shake and bake, the rap game got me feeling like Ricky bobby, Seen stranger things in this nigga dm's i Ain't talking Millie bobby. rebel nigga did my Shmurda dance cause i'm really rowdy, Got forced to reveal your child but acted like you did it Proudly
Crying to Lebron, making songs like ""My GOATS's Really doubt me""

This record got me feeling devious so take a seat Aubrey, Look up (Look up to your father son) And nigga if you talking push ups then put that rеcord for push up, you know his clipse ain't empty so you stopped ,This nigga shook up (BUM!)

A Tummy tucking liposuction having nigga could nеver do a push up, and if aubrey wants the smoke then it's no joke lil nigga cook up, I'll be rushing to get shooting just like Putin i'll go nuclear

Hook:
This lil nigga really tryna get a look in
Bitch shut the fuck up we don't care bout no bookings
You won't smash no bitch unless she looks ten (both ways)
Is Drizzy creeping on your daughter? I don't know Twin
Know twin, If she legal will he smash? No twin, No Twin, We might fuck around and go spin, If he respond ima drop another song by ten, cause niggas ain't on shit and it's evident

Verse 2:
Niggas talking bout size 7 feet, nigga my feet still bigger than the chicks that you meet, Keep talking bout Whitney like shit's sweet Well if you wanted to be whitney, It would sound like this, G. like: And I---- Will always, Love Kids
Nigga fuck you think this shit is? It's Kenny bitch, dont need no switch, ima press it till it's empty, Whats luv in the rap game when jealous ones really envy? And nigga catch me on the breakfast club i might just chop it up with envy, Massacring all my enemies, Living in their mind rent free

Hook:
This lil nigga really tryna get a look in
Bitch shut the fuck up we don't care bout no bookings
You won't smash no bitch unless she looks ten (both ways)
Is Drizzy creeping on your daughter? I don't know Twin
Know twin, If she legal will he smash? No twin, No Twin, We might fuck around and go spin, If he respond ima drop another song by ten, cause niggas ain't on shit and it's evident
You might also likeVerse 3:
Gambling and drinking, Through the glass i can see his life is at stake
Ok aubrey you mike? On topic thats the icing of the cake
Read between the lines when i prophesise the rhymes that i make
TBC-Embed",15
Organized Madness by Kendrick Lamar (Ft. Bilal),2022-12-10 00:00:00,(No Album),"7 ContributorsOrganized Madness Lyrics[Intro: Bilal]
The madness, southwest madness
The mantra, the kings of the land
The mantra, the madness (laughing)
Yeah, nigga
The madness

[Verse 1: Kendrick Lamar]
Now I'm no stranger to danger
It ain't too much that I'm afraid of
But the land of the lawless
The only song they sang was

[Chorus: Kendrick Lamar & Bilal]
Organized madness, organized madness
Organized madness

[Verse 2: Kendrick Lamar]
The wind blow different on this side
Whisper something slang
Dreams get deferred by nightmares, sleep when you can
And the streets, oh, the streets look like crayons, black and rеd
Heroin lips, cornrows, and bald heads, gangsta
It ain't wherе you from, it's where you at
So when I look around, hoping I see Jesus
But this the devil's playground
On the monkey bar for the evening (Evening, evening, evening)
You might also like[Chorus: Kendrick Lamar, Bilal, & Lalah Hathaway]
Organized madness, organized madness
Organized madness (Need you, need you, you, oh)
Organized madness, organized madness
Organized madness

[Verse 3: Kendrick Lamar & Lalah Hathaway]
Barefoot babies with no care
Teenage gun toters that don’t play fair, should I get out the car?
They say curiosity killed the cat, and if this tourist don't go home
They might kill more than that, oh (Oh, I need you to see)
Bird call, hoping that our lungs react
As I look around, I see dirt roads
I see hubcaps and outside toilet bowls
I see prostitution, I see kids looting
I see havoc and stress, I see retribution
I see refugee, I see low equity
I see transport, export with accessory
I don’t see Compton, I see something much worse
The land of the landmines, the hell that’s on earth

[Chorus: Kendrick Lamar, Bilal, & Lalah Hathaway]
Organized madness
Organized madness
Organized madness (Need you, need you, you, oh)
Organized madness
Organized madness
Organized madness
[Outro: Bilal]
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madness, organized madness
Organized madnessEmbed",1
Not For Sale* by Kendrick Lamar,2019-01-01 00:00:00,(No Album),"3 ContributorsNot For Sale* LyricsLyrics from Snippets

[Verse ?]
Too much life, not for sale
Too much love, not for sale...
[...]
...wish you well
See my time, not for sale
See my mind, not for sale
See my dream, not for sale
See my–
Look at meYou might also likeEmbed",0
Waitin by Kendrick Lamar (Ft. Punch),2009-01-01 00:00:00,(No Album),"3 ContributorsWaitin Lyrics[Intro: Kendrick Lamar]
So they looking for me
They don't know
I'm waiting on them
Right here, I'ma sit by the window
See they gonna have to get me
Yeah, they gonna have to get me
Come get me

[Verse 1: Kendrick Lamar]
Damn shame, why they let me get a champagne, uh
The young can produce thunder, I make black rain, uh
Blood stain saw all over his black range, uh
Catch him at the lights to turn off his lights mane
Life been treating me right so I can't complain, uh
Career 'bout to take flight, G4 plane (Yep)
I stunt niggas growth in this rap shit
Suggest you react quick or invest in some globe games
I'm propane and hard liquor, bow down to who
What nigga, toss bullets like flea flickers
To the fullest, I'ma get it to the core
And they tape pictures, yellow tape, stretched out, inches
I can't wait like the first day of school
Waking up, three in the morning, looking at my shoes
But this time around, I be looking are my tool
Wiping it down, [?] every other commercial now
Hold my mom, it's nothing to hurt you
Two straps on my side, I'm looking like [?], blaw
Did I do that, yes I did
I told you the truth, cause no witnesses, I'm the truth
Still, I remain calm like a soldier in war
Surrounded by, three bombs, cautious
Shots keep coming like I got three arms
Two trigger fingers over one bomb, let it breathe
You might also like[Interlude: Kendrick Lamar]
Hm, I'm surprise
Ya'll not here yet
Plans must have change
But I'm still here
I even let the backdoor open
Come on now

[Verse 2: Kendrick Lamar]
Kill 'em, kill 'em, send 'em to the morgue
Let 'em fill him with a brimming fluid
We ain't sorry for nothing
We ain't tryna play hardcore nothing
But you overdid it when you push the button
So we caught the USSR, push the button on it
Let it blew up a few cars
You really don't want it [?] and your homie don't want it neither
Shoe string, choke 'em up, let 'em get no breather
No pressure, black and white, the skies
Looking like uncle Fester, poppin' up on you guys
The .22 fit right between my bitch thighs
If you blink once, it be pointing right between your eyes
You better off tryna plan your own suicide
Cause it's nothing, but torture if you want you to die
The 745 got weed in it, riding with the .45, times two the speed limit
I pop eyes for a [?] that spinach
Cut 'em down to the white meat, have 'em no skinnin'
I'm not finish until my niggas ate too
So any given time they can grace you
What you want? Casket, await due
My pain in a box is quite more you
So they can see the damage done at the wake view
Hide 'em hollow tips, hopscotch on the face you breathe
[Interlude: Kendrick Lamar]
So ya'll still ain't here
So I guess there's a first time for everything if ya'll don't come
But I'm still here
In fact I'm still waiting for someone else
Punch

[Verse 3: Punch]
Yeah, I got the range of a [?]
From nine hundred yards by the grass I been walkin'
See, so don't think I don't see you dudes creepin'
Reaching for my spot, then spot a niggas breathin'
A grown man, ya'll cats barely [?]
Lil dudes tryna catch me like they wide receiving
Stop it, [?], custom drop it
That's one point two, minus the roof, don't stop rams
I'm in the cockpit, windows up, black tint
I'm not from 'round here, it's like I breathe with an accent
Whether you has been, future or present
I remove you from your flesh, teach you dudes a lesson
'Cuse the digression, abuse studio sessions
I'ma fool on the [?], the dude, no question
Uncomfortable homie, barefoot in the booth
Stop and breathe for a second, inhale the truth
Breathe niggas
[Outro: Kendrick Lamar]
I'm restless know
Ya'll took to long
Maybe next time
Or maybe even I come to you
Hm, but for know
I'ma just get myEmbed",5
ICE SKATE by Kendrick Lamar,2023-06-15 00:00:00,(No Album),"4 ContributorsICE SKATE LyricsLyrics from Snippet

[Intro]
Yeah, ayy
Ayy, whoa

[Verse]
Yeah, I thank me, I thank me, ayy
I thank me ayy, I thank me (thank me)
[?] on E
Two at [?] gonna stay [?]
[?] cause the [?] stay [?]
[?] like a [?]
I kinda thought [?]
[?]
[?] tryna call us [?]
Fuck a [?]You might also likeEmbed",0
Control (Remix) by Kendrick Lamar,2013-08-14 00:00:00,(No Album),2 ContributorsControl (Remix) LyricsNot availableYou might also likeEmbed,0
Lyrical G by Kendrick Lamar,2012-01-01 00:00:00,(No Album),"7 ContributorsLyrical G LyricsGangsta, gangsta, gangsta x 5
When I kick it, I kick it as if the beat was my enemy
You have thought it was tender me on point like a widow P
Got that leverly give them dearies that do what it do
Payin a picture like duderline, you ain't shit but do do
In the city where see me get pointed that damn it you
You can hide, you get it if you want to
I do karate moves but the crushing tiger just might get broken down by a writer
Yeah the passenger hopped out
But you got shot by the driver
There's a killer like everywhere
So why would you take it there
Neighborhood terrorist got the terror when this people scared
That's why my intelligence tell me to keep a banker you
Tell me f*ck you I'll tell you f*ck you back with my index finger
I can flip on some killershit but I'd rather keep cool
Keep it sober minded try not to be a p**sy like you
Nigga that kale cold attack, Cali on my back till my torso break nigga
This is where it's at that's gangsta
Gangsta, gangsta, gangsta x 5
I'm so malicious I blow your wicked
Make em close as stigiuos, hells kitchen I'm blowing dishes
This is spoken wisdom as I journey a poe and mission
I'ma lift it, my flow is gift it
She cold with a bow and ribbon the role of riches
Low the bisquits let's go to distance
I'm blow and listen my car how why you with a broken mission
They so suspicious, low and vicious with no convictions
Juries making their own decisions they want us to go to prison
Call adrenaline I got this soul like a poe living
And.like I'm co-existent to prohibition
I'm a dressin critics who say these widows the best as spit it
Mother of statistics they rap with metaphysics
And they yeah simplistic, they stay out as repetition
Show some recognition hold your .my pessimistic
Best that ever did it, Papoose is the definition
Gangsta, gangsta, gangsta x 5You might also likeEmbed",2
Nickerson Gardens Freestyle by Kendrick Lamar,2017-10-06 00:00:00,(No Album),"3 ContributorsNickerson Gardens Freestyle Lyrics[Verse 1: Kendrick Lamar]
I don't need the hype
They call me- fuck it- I don't need no introduction
No ad-libing my name 100 times for nothing
You already know it's K. Dot, city of Compton
Analogy is like Biggie and Bed Stuy, Oakland and 2Pac
I'm more focused, I'm nothing like you new guys
Struggling over a few lines thinking you hot
Cause your homey said you you was a few times
Which is too many times
They lying to you, they telling a lie
The only time I lie in the booth is when I sleep in it
Record 24 hrs, you niggas better get your bars up
I bench press this rap stuff, got it locked like handcuffs
I threw away the key, my cool is on, she love my A/C
My juice is on, and I wish one of y'all try to rob me
I shoot, and have you laying between the sheets with the eyes leased (Isleys)
I push the coupe like a high speed
The helicopters come and realize that nothing's behind me is behind me
Your honor, I fuck over this beat with no condom
This ain't rap it's really a porno, re-wind me back
Finally the finest of 'em all is back
To define the laws of crack, y'all don't obey
Y'all ain't nice, y'all just OK
You're nothing more than a little John phrase
I'm Mike Jordan in his prime, modern day Issac Hayes
Theme song to Shaft, equivalent to the theme song to your career
Study my craft, you ignorant, I do it without a pen and pad
Just inspiration: something you never had
If my pockets is something you trying to grab
I pull out the rocket and peel you back like scab
You old news, you old dudes get out of my way
Let the young boy come through; don't mention my age
I'm on a mission for pay, and you astronaut niggas just crowding my space
You not in my atmosphere, you can act like you here
But actually you ain't accurate fucking with the music biz
The industry like, ""Fuck it, let the music be his""
No theme park, I'm not trying to amuse you kids
Small shark, jaws is here, jump in the water
Do he really fuck with President Carter?
My reply is that I can't stay away from the bosses
Got the bidding war popping like an auction
5 or 10 labels like what he hitting for? 7 zeros or more?
Remember having Aftermath sitting on my door
Money in front of me, couldn't open the door
You might also like
[Verse 2: Unknown rapper]
Boom! That's that, left him on his back flat
You talking like that, jack, spitting
About crack, but never been about that
I'm real with this rap, I'm just speaking the facts
Rap, but some niggas wack, talent something they lack
So gather your whole pack, I'm taking them off the map
My pockets is getting fat, their pockets, they staying flat
So imma just hollaback, they rocking their tiny J's
But niggas ain't getting paid in the spot, like they a slave
12 hours just for some change, man this shit a shame
When the feds come, who you gon' blame? But that's just
Learning the game, you niggas should do the same
They go as fast as they came, cause passing me you ain't gon' see
I go bar for bar, and b, you are just a target, b
So just call me Muhammed Ali
Easy shit be hard to do, easy for me and hard for you
I'm leaving you with the (?), pick up a broad, 'bout three or two
Life is like a puzzle but my level is some trouble, man, you gotta use your muscle, in the hood I had to tussle
Man, I'm moving to the shop, (?), man you're not
Niggas steady talking but barely looking in the spot

[Verse 3: Kendrick Lamar]
I'm so far ahead of my time, I got people 5 years from now pressing rewind
I'm hardly a friend with y'all, i hate rappers, where is your artist at?
If it ain't a good picture you're draw, don't bring it to the architect
Often you arguing 'bout who got next, claiming you're running the game
Niggas are barely walking yet, hopping all over beats without studying training camp
Try studying a few greats then maybe you'll be where i'm at
Your songwriting ain't great, your mixtapes mediocre
You recycle the same quotes, you're not switching the flow
Your flow in the same place, just don't rap; elaborate
Try to expand, try to be more creative perhaps
My rap friends, i ain't saying you're wack, psyche
Like an in-voice, I'm just stating the facts, right?
(?) metaphores i write, in fact, it's been a factor
You've feared your whole life, no TV show
Don't compare me with them, that's like a shark versus Nemo,  a gorilla to a chimp, Jordan versus Kukoč
A Tony Montana with blow on his nose to a NinoEmbed",7
Swimming Pools (Drank) [Extended Version] by Kendrick Lamar,2012-10-22 00:00:00,(No Album),"2 ContributorsSwimming Pools (Drank) [Extended Version] Lyrics[Intro]
Pour up (Drank)
Head shot (Drank)
Sit down (Drank)
Stand up (Drank)
Pass out (Drank)
Wake up (Drank)
Faded (Drank)
Faded (Drank)

[Verse 1]
Now, I done grew up round some people livin' their life in bottles
Granddaddy had the golden flask, backstroke every day in Chicago
Some people like the way it feel, some people wanna kill their sorrow
Some people wanna fit in with the popular, that was my problem
I was in a dark room, loud tunes, lookin' to make a vow soon
That “I'ma get fucked up”, fillin' up my cup, I see the crowd mood
Changin' by the minute and the record on repeat
Took a sip, then another sip, then somebody said to me

[Chorus]
Nigga, why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First, you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
Then, I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-Pool full of liquor, I'ma dive in it
You might also like[Post-Chorus]
Pour up (Drank)
Head shot (Drank)
Sit down (Drank)
Stand up (Drank)
Pass out (Drank)
Wake up (Drank)
Faded (Drank)
Faded (Drank)

[Verse 2]
Okay, now open your mind up and listen me, Kendrick
I am your conscience, if you do not hear me then you will be history, Kendrick
I know that you're nauseous right now and I'm hopin' to lead you to victory, Kendrick
If I take another one down, I'ma drown in some poison, abusin' my limit
I think that I'm feelin' the vibe, I see the love in her eyes
I see the feelin', the freedom is granted as soon as the damage of vodka arrived
This how you capitalize, this is parental advised, and apparently, I'm over-influenced
By what you are doin', I thought I was doin' the most 'til someone said to me

[Chorus]
Nigga, why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First, you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
And I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-Pool full of liquor, I'ma dive in it
[Post-Chorus]
Pour up (Drank)
Head shot (Drank)
Sit down (Drank)
Stand up (Drank)
Pass out (Drank)
Wake up (Drank)
Faded (Drank)
Faded (Drank)

[Bridge]
I ride, you ride, bang
One chopper, one hundred shots, bang
Hop out, do you, bang
Two chopper, two hundred shots, bang
I ride, you ride, bang
One chopper, one hundred shots, bang
Hop out, do you, bang
Two chopper, two hundred shots, bang

[Chorus]
Nigga, why you babysittin' only two or three shots?
I'ma show you how to turn it up a notch
First, you get a swimming pool full of liquor, then you dive in it
Pool full of liquor, then you dive in it
I wave a few bottles, then I watch 'em all flock
All the girls wanna play Baywatch
I got a swimming pool full of liquor and they dive in it
Po-Pool full of liquor, I'ma dive in it
[Post-Chorus]
Pour up (Drank)
Head shot (Drank)
Sit down (Drank)
Stand up (Drank)
Pass out (Drank)
Wake up (Drank)
Faded (Drank)
Faded (Drank)

[Interlude]
Sherane
Sherane (Pool, Kendrick, Kendrick, lies in it, in, in i-)
Sherane, Sherane
(W-watch 'em all flock) Aw man…
Sherane (Girls wanna play-play-play)
Where is she takin' me? (I got)
Where is she takin' me? (Pool full of liquor, I'ma die in...)

[Verse 3]
All I—all I—all I—
All I have in life is my new appetite for failure
And I got hunger pain that grow insane, tell me, do that sound familiar?
If it do, then you're like me, makin' excuse that your relief
Is in the bottom of a bottle and the greenest indo leaf
As the window open I release everything that corrode inside of me
I see you jokin', why you laugh? Don't you feel bad? I prob'ly sleep
And never ever wake up, never ever wake up, never ever wake up
In God I trust, but just when I thought I had enough

[Skit]
""They stomped the homie out over a bitch?
K-Dot, you good, blood?
Now we can drop, ye we can drop you back off""
""That nigga's straight, man, that nigga ain't trippin'""
""We gon' do the same ol' shit
I'ma pop a few shots, they gon' ru—they run opposite way
Fall right in ****'s lap
And he gon' tear they ass up, simple as that""
""And I hope that bitch that set him up, out there
We gon' pop that bitch too""
""Wait hold up, ayy, I see somebody""
*Car door opens and gunshots are fired*
""Aha! Got them niggas, K-Dot, you good?""
""L****, you good?""
""Yeah, blood, I'm good – Dave, you good?
Dave? Dave, say somethin' – Dave?
These bitch-ass niggas killed my brother!""Embed",7
Hooligan by Kendrick Lamar,2019-01-01 00:00:00,(No Album),"5 ContributorsHooligan Lyrics[Intro]
I am not like them
I am not like them
I am
I am not like them
I am not like them
I am

[Verse]
PG the Lang, that's no cut (Mhm, mhm)
We are not the same, got me fucked up (Mhm, mhm)
If I dropped a M, I dropped em off, I dropped (Mhm, mhm)
Oh you rock with them? Laughing to myself (Mhm, mhm)
I have a residency at the bank (Mhm, mhm, mhm)
You ain't got no leverage, let's be frank (Mhm, mhm, mhm)
Tear gas the room before I walk in (Mhm, mhm)
There goes another paper trail, I'm all in (Mhm, mhm)
One thirty on the one oh one, vroom, vroom, vroom
Ride dirty, this ain't what you want, boom, boom, boom
I got something to say, which is nothing to say
I'd rather, show you than tell you, get the fuck out my way

[Chorus]
Hooligan, hooligan, hooligan, hooligan, hooligan
Hooligan, hooligan, but who licking?
Hooligan, hooligan, hooligan, hooligan
Hooligan, hoogling, hoogling
You might also like[Outro]
I am not like them
I am not like them
I am
I am not like them
I am not like them
I amEmbed",0
Outta Pocket (N95 Demo) by Kendrick Lamar (Ft. Baby Keem),2022-05-13 00:00:00,(No Album),"2 ContributorsOutta Pocket (N95 Demo) LyricsLyrics from snippet

[Chorus: Kendrick Lamar]
You outta pocket
You outta pocket

[Verse: Kendrick Lamar & Baby Keem]
I G slide out the black picture
I won't ride with you, that's all (bitch)
No hands up, [?] go out (bitch)
[?] (hoe hoe, woah, yeah)
[?] (hey)
[?] (let's go)
Let's think about this for a second (Let's go)
Tell me what you would do for aesthetic (Let's go)
Would you sell your soul on credit? (Let's go)
Would you sell your bro for leverage? (Let's go)
[?] (let's go)
[?] (let's go)
[?] (let's go)
[?] (let's go)
You outta pocket, yeah, you outta pocketYou might also likeEmbed",0
King of My City by Kendrick Lamar (Ft. Jay Rock),2019-10-21 00:00:00,(No Album),"5 ContributorsKing of My City Lyrics[Chorus: Jay Rock & *Kendrick Lamar*]
*So what up G?*
Shit nothing but the money
*What you trying to see?*
More fifties more hundreds
*Who you trying to be?*
Who I already is
King of my city, that's no pop quiz

[Verse 1: Jay Rock]
Sitting in my Chevy smoking heavy on the best bud
Get it from the source
Got the best plug
Watts, California be my city till the death bruh
You ain't hearing that?
Then you deaf blood
Moving like a snail
You can catch a slug
Hit you like a snare
I got big drums
Hunt for every dollar
I just stack funds
Yours is insufficient
That's why you mad huh?
Ever since I got a deal niggas hate me hard
So I keep a steel
Got no time to spar
Got no time to spare, money on my mind
Like hair
Like a flight of steps
All a nigga get is stairs
Big bag of green
Looking like a pear
When I hit a club
I'm leaving with a pair
Nigga I don't care
Bitch I'm a baller
Crash my whip today and cop another one tomorrow
You might also like[Chorus 2: Jay Rock & *Kendrick Lamar*]
*So what up G??*
Shit nothing but the money
*What you trying to see?*
More fifties more hundreds
*Who you trying to be?*
Who I already is
King of my city, that's no pop quiz
*So what up G?*
Shit nothing but the money
*What you trying to see?*
More fifties more hundreds
*Who you trying to be?*
Who I already is
King of my city, gotta get it how I live

[Verse 2: Kendrick Lamar]
Me without a dollar is like a scholar with no smarts (whats that?)
That don't make sense don't it? (mm-mmh)
I'm in a Lamborghini with a Brazilian woman (oh yeah?)
Miss Novocaine
Suck my dick till she numb it (god damn)
You fly like a plane
But I'm more like a comet
Soaring over the atmosphere
I can hear the aliens cheer (ha)
Victory is sweet my dear (mm-hmm)
Here's the technique my dear (mm-hmm)
And maybe you can duplicate me
It's weird how y'all never can progress within the process
Of making residuals
I guess that you ain't I yet
Try to interfere with the dineros that I get
Watch y'all bear arms like women rub on my triceps duddy
Y'all is funny to me
You thought I came by myself nope
It's money with me
It's the root of all evil, but the need of all people
Yours is frail
I weigh mines on Brannon Scales
[Chorus: Jay Rock & *Kendrick Lamar*]
*So what up G?*
Shit nothing but the money
*What you trying to see?*
More fifties more hundreds
*Who you trying to be?*
Who I already is
King of my city, that's no pop quizEmbed",3
GOD BLESS AMERICA. (XXX. Demo) by Kendrick Lamar,2017-04-14 00:00:00,(No Album),"2 ContributorsGOD BLESS AMERICA. (XXX. Demo) Lyrics[Intro: Congress Alley]
All the signs (all the signs)
Of a dying nature (all the signs)
God save america
Just look around (just look around)
And see the crazy (just look around)
God save america -ca -ca -ca

[Verse 1: Kendrick Lamar]
Throw a steak off the ark to a pool full of sharks
He'll take it
Leave him in the wilderness with a sworn nemesis
He'll make it (He'll make it)
Take the gratitude from him, I bet he'll show you somethin'
Woah (Woah)
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga, then throw the blower in his lap
Walk myself to the court like, ""Bitch, I did that!,"" X-rated
Johnny don't wanna go to school no mo', no mo'
Johnny said books ain't cool no mo' (No mo')
Johnny wanna be a rapper like his big cousin
Johnny caught a body yesterday out hustlin'
God bless America, you know we all love him
You might also like[Verse 2: Kendrick Lamar]
Yesterday, I got a call, like, from my dawg, like 101
Said they killed his only son because of insufficient funds
He was sobbin', he was mobbin', way belligerent and drunk
Talkin' out his head, philosophin' on what the Lord had done
He said: ""K-Dot, can you pray for me? It been a fucked up day for me
I know that you anointed, show me how to overcome.""
He was lookin' for some closure, hopin' I could bring him closer
To the spiritual, my spirit do know better, but I told him
""I can't sugarcoat the answer for you, this is how I feel:
If somebody kill my son, that mean somebody gettin' killed.""
Tell me what you do for love, loyalty, and passion of
All the memories collected, moments you could never touch
I wait in front a nigga's spot and watch him hit his block
I catch a nigga leavin' service if that's all I got
I chip a nigga, then throw the blower in his lap
Walk myself to the court like, ""Bitch, I did that!""
Ain't no Black Power when your baby killed by a coward
I can't even keep the peace, don't you fuck with one of ours
It be murder in the street, it be bodies in the hour
Ghetto bird be on the street, paramedics on the dial
Let somebody touch my momma, touch my sister, touch my woman
Touch my daddy, touch my niece, touch my nephew, touch my brother
You should chip a nigga, then throw the blower in his lap
Matter fact, I'm 'bout to speak at this convention, call you back—Embed",8
It's Us by Kendrick Lamar,2023-01-01 00:00:00,(No Album),"3 ContributorsIt’s Us LyricsLyrics from Snippet
[Verse 1]
...fuck y'all, he sucks
How the fuck y'all don't holler at her all
But the energy not like us
Half of you bitches just suck
How the fuck niggas still ain't grown up
When they thirty-two plus and they live month to month
Who would you pick, actin' like they had brunch
Nigga, I'm disgusted
I ain't gotta say that I'm 'bout to move different
So I can move different
I don't give a fuck if there's ten billionaires right here, man, fuck that bitch
If I don't know progress myself 'round you
Then I don't know what else to know for you
And I don't know what else controllin' you
Huh, huh, huh

[Pre-Chorus]
That's how you weirdos pay me?
We built America, baby
I can't lеt, I can't let that evil break mе
Who you thought made it out the dark, are you crazy?

[Chorus]
It's us, it's us, it's us, it's us
It's us, it's us, it's us, it's us
Yeah we got that shit yeah, who got the chill? (it's us)
Know we outside, man, watch your lip
You might also like[Verse 2]
Huh-huh
Every day, I break (Huh)
Every day, I say (Huh)
""Inside my head, I'm safe"" (Huh)
These days, only traveling with the paper plates (Huh)
Paranoia 'cause I bought...Embed",2
Crooked by Kendrick Lamar,2023-04-28 00:00:00,(No Album),"6 ContributorsCrooked Lyrics[Intro]
Ayy ayy check this out homie
Listen up

[Chorus]
Niggas burnt out (crooked)
Lost in the game hit the streets turned out (crooked)
Homie what you claim, screaming peace but I know you (crooked)
Hit a lick today, chopper piece, the police (crooked)
They the biggest gang, aim it straight but I hold it (crooked)
Take the pain away g-ride steering wheel (crooked)
In the gutter lane (crooked)
Smile on my face
See the enemies I made
'Bout to spend my last days (Crooked)
Tell mе who’s to blame

[Verse 1]
From eyewitnеss binoculars to some piñas coladas
From Argentina and Africa, safe to say that we mastered the
Art of peer pressure from the streets that was hazardous
Crooked police harrasin' us
Quarter piece in our Acuras
Was aggravated, baggin' dimes, now we bagging rhymes
Body bags, price tags on your forehead
Nine times out of ten, young niggas are nine or ten
When the line becomes thin, be a killer or fireman
Fill up the livest pen if I needed to right my wrongs
I can’t deny your sins and condolences through these palms
I remember when your first cousin was coming home
You was my bitch but we plotted to kill him cause we ain't know him
Unfamiliar faces make niggas nervous
Convicted court cases might hit the surface
Restricted territories, might come through lurking
We ain't want none of that urgent call
Well then I'ma act Turk and fall on my identity, Percocets
And for all the headaches we 'bout to bring confetti
Tumble out this barrel soon as it ring, you ready?
That was the message 'fore we moved on 'em
Treat him like Joe the Plumber
I wonder if someone comin' can see this tool on him
Immature and retarded is what you call me
Caue your cousin wasn’t coming home from the pen, but from the army
And if I right my wrongs it’d be in this verse I read
And even though a bullet hit him in the leg, you should understand
You might also like[Chorus]
Niggas burnt out (crooked)
Lost in the game hit the streets turned out (crooked)
Homie what you claim, screaming peace but I know you (crooked)
Hit a lick today, chopper piece, the police (crooked)
They the biggest gang, aim it straight but I hold it (crooked)
Take the pain away g-ride steering wheel (crooked)
In the gutter lane (crooked)
Smile on my face
See the enemies I made
'Bout to spend my last days (Crooked)
Tell me who’s to blameEmbed",4
